Date,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,HINDUNILVR,ITC,SBIN,BHARTIARTL,KOTAKBANK,LT,AXISBANK,WIPRO,HCLTECH,ASIANPAINT,MARUTI,SUNPHARMA,TITAN,ULTRACEMCO,NTPC,ONGC,POWERGRID,NESTLEIND,M&M,TECHM,JSWSTEEL,BAJFINANCE,ADANIPORTS,COALINDIA,GRASIM,INDUSINDBK,TATASTEEL,BRITANNIA,APOLLOHOSP,SBILIFE,HINDALCO,UPL,EICHERMOT,SHREECEM,CIPLA,DRREDDY,HEROMOTOCO,TATACONSUM,BAJAJFINSV,ADANIENT
2026-04-28,1382.5078125,2411.99560546875,769.817626953125,1127.697265625,1292.0,2266.44677734375,296.3757629394531,1071.9775390625,1843.800048828125,377.95001220703125,3998.643798828125,1288.0067138671875,201.5800018310547,1196.0,2441.41845703125,12892.0,1742.732666015625,4402.5537109375,11817.0,406.8500061035156,301.29998779296875,319.0,1433.1109619140625,3056.00732421875,1372.434326171875,1274.2806396484375,918.0068359375,1630.7274169921875,467.0,2783.0,884.1179809570312,210.70468139648438,5662.0,7753.0,1808.300048828125,1068.724853515625,645.5,7071.5,24890.0,1294.35693359375,1346.063720703125,5068.0,1138.0699462890625,1777.4832763671875,2411.32177734375
2026-04-29,1418.83984375,2441.59423828125,766.3253784179688,1142.7711181640625,1281.0,2291.095947265625,307.86279296875,1067.655517578125,1888.0999755859375,382.0,4056.47900390625,1295.4010009765625,200.67999267578125,1200.199951171875,2426.25,13257.0,1774.050537109375,4425.279296875,11833.0,401.29998779296875,301.3999938964844,320.3500061035156,1458.5885009765625,3119.540283203125,1422.8248291015625,1272.3914794921875,924.3179931640625,1654.1287841796875,479.8999938964844,2803.199951171875,912.2723999023438,211.51791381835938,5709.0,7709.0,1816.199951171875,1061.6614990234375,644.0999755859375,7189.5,24555.0,1305.353759765625,1321.4200439453125,5114.5,1158.19970703125,1762.69580078125,2424.815673828125
2026-04-30,1424.215087890625,2440.804931640625,759.1441650390625,1156.768310546875,1263.4000244140625,2228.2353515625,306.548583984375,1049.5321044921875,1886.800048828125,383.29998779296875,3975.173095703125,1267.3226318359375,200.64999389648438,1199.0999755859375,2423.473876953125,13314.0,1803.5732421875,4370.85791015625,11586.0,399.1499938964844,299.54998779296875,318.3500061035156,1451.6219482421875,3065.3095703125,1436.1778564453125,1257.2783203125,931.2752685546875,1650.3447265625,481.45001220703125,2794.5,914.5686645507812,207.0892333984375,5726.0,7636.5,1819.0,1032.6131591796875,641.8499755859375,7109.0,24195.0,1297.4281005859375,1314.5634765625,5099.0,1134.9959716796875,1745.7103271484375,2407.323486328125
2026-05-01,1424.215087890625,2440.804931640625,759.1441650390625,1156.768310546875,1263.4000244140625,2228.2353515625,306.548583984375,1049.5321044921875,1886.800048828125,383.29998779296875,3975.173095703125,1267.3226318359375,200.64999389648438,1199.0999755859375,2423.473876953125,13314.0,1803.5732421875,4370.85791015625,11586.0,399.1499938964844,299.54998779296875,318.3500061035156,1451.6219482421875,3065.3095703125,1436.1778564453125,1257.2783203125,931.2752685546875,1650.3447265625,481.45001220703125,2794.5,914.5686645507812,207.0892333984375,5726.0,7636.5,1819.0,1032.6131591796875,641.8499755859375,7109.0,24195.0,1297.4281005859375,1314.5634765625,5099.0,1134.9959716796875,1745.7103271484375,2407.323486328125
2026-05-04,1456.3663330078125,2398.77490234375,766.7189331054688,1143.652099609375,1270.800048828125,2286.04736328125,302.8493957519531,1049.4830322265625,1827.0999755859375,371.6499938964844,4061.13330078125,1274.1173095703125,200.75,1200.5,2427.04296875,13580.0,1818.7333984375,4348.73046875,11758.0,400.04998779296875,292.8999938964844,319.04998779296875,1450.129150390625,3074.216064453125,1434.325927734375,1259.3663330078125,944.3945922851562,1735.2867431640625,479.95001220703125,2856.0,912.4221801757812,207.9514617919922,5792.5,7737.5,1820.0999755859375,1037.2886962890625,643.3499755859375,7329.0,24740.0,1322.592041015625,1279.08837890625,5066.5,1150.6634521484375,1768.890625,2484.589111328125
2026-05-05,1456.864013671875,2394.828369140625,759.734375,1153.1466064453125,1251.300048828125,2303.965087890625,303.19012451171875,1041.133544921875,1806.0999755859375,371.3500061035156,4015.28125,1258.729248046875,199.77999877929688,1200.199951171875,2409.0986328125,13426.0,1816.04052734375,4359.2958984375,11963.0,398.6499938964844,289.95001220703125,319.45001220703125,1470.730224609375,3177.43212890625,1415.417236328125,1245.2474365234375,952.7432861328125,1717.7606201171875,472.6000061035156,2871.5,909.2273559570312,207.050048828125,5834.5,7772.0,1821.199951171875,1049.2264404296875,642.0499877929688,7301.5,24845.0,1321.3040771484375,1263.189208984375,5109.0,1143.8214111328125,1793.0699462890625,2460.899658203125
2026-05-06,1431.2823486328125,2402.81982421875,783.58984375,1142.4774169921875,1279.5,2293.768798828125,302.4599914550781,1076.5943603515625,1833.699951171875,376.6000061035156,3969.726318359375,1293.20263671875,199.1199951171875,1189.0999755859375,2497.333251953125,13722.0,1845.3636474609375,4345.341796875,12093.0,394.8500061035156,280.79998779296875,315.95001220703125,1478.9903564453125,3266.496826171875,1429.550048828125,1266.028076171875,974.7579345703125,1740.962890625,470.20001220703125,2914.800048828125,945.2190551757812,211.11619567871094,5783.0,7760.5,1859.0,1040.3726806640625,660.0,7310.5,24975.0,1351.7188720703125,1302.738525390625,5170.0,1142.5322265625,1834.5345458984375,2539.164794921875
2026-05-07,1429.590087890625,2369.274658203125,783.0979614257812,1138.07275390625,1279.0,2249.32080078125,299.24749755859375,1072.6651611328125,1826.5999755859375,379.3999938964844,3984.0859375,1291.7037353515625,197.36000061035156,1183.4000244140625,2508.83349609375,13770.0,1829.60498046875,4293.412109375,12146.0,400.3500061035156,283.8999938964844,313.79998779296875,1468.938720703125,3335.67041015625,1411.5185546875,1276.0704345703125,966.8068237304688,1725.5279541015625,466.6499938964844,2960.60009765625,945.418701171875,212.70346069335938,5814.0,7837.0,1872.199951171875,1050.22119140625,650.4500122070312,7327.5,25595.0,1349.638427734375,1299.35986328125,5343.0,1142.036376953125,1822.9444580078125,2512.57666015625
2026-05-08,1428.5947265625,2362.368408203125,768.145263671875,1154.2232666015625,1264.800048828125,2264.664794921875,299.29620361328125,1001.2523193359375,1834.5,380.79998779296875,3936.05517578125,1267.3226318359375,197.91000366210938,1198.4000244140625,2577.537109375,13726.0,1843.0697021484375,4494.2529296875,11950.0,402.1499938964844,279.20001220703125,313.95001220703125,1475.30810546875,3295.7890625,1425.9437255859375,1270.50244140625,949.5131225585938,1753.0120849609375,456.3999938964844,2968.60009765625,949.2125854492188,210.156005859375,5520.0,8097.0,1872.0999755859375,1038.97998046875,646.0,7302.5,25435.0,1334.4805908203125,1285.7462158203125,5322.0,1166.330810546875,1816.749755859375,2504.780029296875
2026-05-11,1381.81103515625,2360.888427734375,751.2251586914062,1152.0699462890625,1266.4000244140625,2283.968505859375,297.7386169433594,956.3615112304688,1759.800048828125,381.04998779296875,3902.0869140625,1271.319580078125,196.67999267578125,1194.9000244140625,2544.028076171875,13483.0,1867.8048095703125,4191.84521484375,11866.0,392.95001220703125,281.0,310.8999938964844,1474.810546875,3212.167236328125,1420.485595703125,1255.38916015625,930.3310546875,1759.883056640625,464.45001220703125,2984.199951171875,920.8085327148438,207.79469299316406,5410.5,8082.0,1884.4000244140625,1018.1884155273438,669.0,7202.5,25205.0,1292.7718505859375,1271.83447265625,5228.5,1260.33544921875,1792.6702880859375,2499.08251953125
